Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=14.79, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=14.37, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=90.35, Feature_19=0.00, Feature_6=1.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=12.77, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=10.71, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=14.83, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=93.43, Feature_19=0.00, Feature_6=1.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=17.89, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=73.55, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=78.73, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
