Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
classification,M008,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M002,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M006,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M009,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M007,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M005,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M003,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M010,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M004,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
classification,M001,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: PC_2, PC_0, PC_1.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,Model-driven signals (top features unavailable).,"High ($5,000+)",Within 24-48 hours,High,
