Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
regression,M009,,0.6436100534571623,,Warning,2.633678283554333,Predicted value (0.64) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M004,,0.6375073766313563,,Warning,2.527652818802006,Predicted value (0.64) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M004,,0.6319700003981746,,Warning,2.4314486603007843,Predicted value (0.63) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M010,,0.6282995058132739,,Warning,2.367678956391614,Predicted value (0.63) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M001,,0.6258145086040994,,Warning,2.324505609427405,Predicted value (0.63) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M004,,0.6202494109599284,,Warning,2.2278198302263434,Predicted value (0.62) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M002,,0.617480538459822,,Warning,2.1797145475703275,Predicted value (0.62) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M010,,0.6167765365427149,,Warning,2.1674835000188377,Predicted value (0.62) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M007,,0.6152920867893203,,Warning,2.141693264111278,Predicted value (0.62) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M001,,0.6146877410879221,,Warning,2.1311936037670067,Predicted value (0.61) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M008,,0.6120978376414594,,Warning,2.086197657821828,Predicted value (0.61) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M007,,0.6102810720261934,,Warning,2.0546338991298896,Predicted value (0.61) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
regression,M010,,0.6077550037063155,,Warning,2.010746999125839,Predicted value (0.61) exceeds warning threshold (0.61),Schedule inspection within next maintenance window,,,,High,
