Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
classification,41,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=0.75, Production_Speed_units_per_hr=76.52, Temperature_C=32.50","High ($5,000+)",Within 24-48 hours,High,
classification,7,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=10.17, Production_Speed_units_per_hr=416.86, Temperature_C=55.54","High ($5,000+)",Within 24-48 hours,High,
classification,21,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=9.59, Production_Speed_units_per_hr=285.14, Temperature_C=78.21","High ($5,000+)",Within 24-48 hours,High,
classification,31,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=6.15, Production_Speed_units_per_hr=218.42, Temperature_C=40.04","High ($5,000+)",Within 24-48 hours,High,
classification,4,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=11.44, Production_Speed_units_per_hr=395.48, Temperature_C=34.00","High ($5,000+)",Within 24-48 hours,High,
classification,24,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=1.09, Production_Speed_units_per_hr=156.29, Temperature_C=37.61","High ($5,000+)",Within 24-48 hours,High,
classification,49,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=10.15, Production_Speed_units_per_hr=82.98, Temperature_C=59.71","High ($5,000+)",Within 24-48 hours,High,
classification,27,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=12.29, Production_Speed_units_per_hr=401.35, Temperature_C=82.19","High ($5,000+)",Within 24-48 hours,High,
classification,33,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=12.76, Production_Speed_units_per_hr=50.11, Temperature_C=52.40","High ($5,000+)",Within 24-48 hours,High,
classification,22,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=10.06, Production_Speed_units_per_hr=416.71, Temperature_C=87.78","High ($5,000+)",Within 24-48 hours,High,
classification,2,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=7.72, Production_Speed_units_per_hr=259.94, Temperature_C=57.76","High ($5,000+)",Within 24-48 hours,High,
classification,23,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=12.97, Production_Speed_units_per_hr=300.57, Temperature_C=59.79","High ($5,000+)",Within 24-48 hours,High,
classification,1,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=12.50, Production_Speed_units_per_hr=262.79, Temperature_C=60.97","High ($5,000+)",Within 24-48 hours,High,
classification,20,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=5.23, Production_Speed_units_per_hr=478.27, Temperature_C=73.60","High ($5,000+)",Within 24-48 hours,High,
classification,45,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=5.17, Production_Speed_units_per_hr=260.05, Temperature_C=54.11","High ($5,000+)",Within 24-48 hours,High,
classification,5,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=12.18, Production_Speed_units_per_hr=399.73, Temperature_C=56.70","High ($5,000+)",Within 24-48 hours,High,
classification,37,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=5.26, Production_Speed_units_per_hr=157.39, Temperature_C=51.32","High ($5,000+)",Within 24-48 hours,High,
classification,19,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=4.77, Production_Speed_units_per_hr=189.34, Temperature_C=75.49","High ($5,000+)",Within 24-48 hours,High,
classification,17,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=14.00, Production_Speed_units_per_hr=231.99, Temperature_C=43.00","High ($5,000+)",Within 24-48 hours,High,
classification,30,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=12.01, Production_Speed_units_per_hr=387.70, Temperature_C=63.38","High ($5,000+)",Within 24-48 hours,High,
classification,16,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=10.78, Production_Speed_units_per_hr=154.01, Temperature_C=73.80","High ($5,000+)",Within 24-48 hours,High,
classification,44,Low,,,Critical,3.0,"Model predicted 'Low' for the current operating state. Key drivers include: Error_Rate_%, Production_Speed_units_per_hr, Temperature_C.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Error_Rate_%=10.68, Production_Speed_units_per_hr=79.52, Temperature_C=77.65","High ($5,000+)",Within 24-48 hours,High,
