Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
classification,M004,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=70.42, Vibration_mm_s=3.04, Pressure_Bar=5.58","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M006,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=67.83, Vibration_mm_s=1.60, Pressure_Bar=5.62","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M003,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=54.27, Vibration_mm_s=1.57, Pressure_Bar=4.62","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M002,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=84.02, Vibration_mm_s=3.01, Pressure_Bar=5.30","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M001,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=69.76, Vibration_mm_s=0.51, Pressure_Bar=4.71","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M005,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=76.74, Vibration_mm_s=3.87, Pressure_Bar=4.11","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M009,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=60.47, Vibration_mm_s=4.27, Pressure_Bar=3.85","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M008,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=76.66, Vibration_mm_s=2.14, Pressure_Bar=5.28","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M010,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=67.97, Vibration_mm_s=2.26, Pressure_Bar=5.47","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
classification,M007,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=69.17, Vibration_mm_s=2.73, Pressure_Bar=5.34","Medium ($1,000-$5,000)",Within 1-2 weeks,Medium,Model accuracy (73.29%) suggests moderate reliability
